_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server,gold_label
73,1485,26566,bath spa university,bath,,united kingdom,http://www.bathspa.ac.uk,university bath,bath,,united kingdom,bath,0
173,4508,56969,erasmus university rotterdam,rotterdam,,netherlands,http://www.eur.nl,erasmus university rotterdam,rotterdam,,netherlands,eur,1
178,4508,57653,erasmus university rotterdam,rotterdam,,netherlands,http://www.eur.nl,erasmus university rotterdam,rotterdam,,netherlands,rsm,1
277,6957,41301,hamburg distance teaching university applied sciences,hamburg,,germany,http://www.hamburger-fh.de,university hamburg,hamburg,,germany,uni-hamburg,0
282,6977,16252,stockholm school economics,stockholm,,sweden,http://www.hhs.se,stockholm school economics,stockholm,,sweden,hhs,1
590,10851,56841,lappeenranta university technology,lappeenranta,,finland,http://www.lut.fi,lappeenranta university technology,lappeenranta,,finland,lut,1
678,11711,51882,ming chuan university,taipei,,taiwan,http://www.mcu.edu.tw,ming chuan university,taipei,,taiwan,mcu,1
721,12416,49941,national chiao tung university,hsinchu,,taiwan,http://www.nctu.edu.tw/english/index.php,national chiao tung university,taipei,,taiwan,hinet,1
735,12517,39706,national taiwan normal university,taipei,,taiwan,http://www.ntnu.edu.tw,national taiwan university,hsinchu,,taiwan,gmail,0
792,12895,9718,nottingham trent university,nottingham,,united kingdom,http://www.ntu.ac.uk,nottingham trent university,nottingham,nottinghamshire,united kingdom,ntu,1
832,13243,59884,school teacher education university applied sciences st. gallen,st. gallen,,switzerland,http://www.phsg.ch,university st. gallen,st. gallen,,switzerland,unisg,0
967,15293,57956,sheffield hallam university,sheffield,,united kingdom,http://www.shu.ac.uk,university sheffield,sheffield,,united kingdom,sheffield,0
994,15674,57140,southwestern university finance economics,chengdu,Sichuan Province,china,http://www.swufe.edu.cn,southwestern university finance and economics,chengdu,,china,swufe,1
1003,15752,58966,university manitoba st. john s college university manitoba,winnipeg, Manitoba,canada,http://www.umanitoba.ca/colleges/st_johns/,university manitoba,winnipeg,mb,canada,umanitoba,1
1132,16576,54341,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,shatin,new territories,hong kong,cuhk,0
1251,17266,56656,carlos iii university madrid,getafe,Madrid,spain,http://www.uc3m.es,university carlos iii de madrid,madrid,spain,spain,uc3m,1
1332,18782,53775,university milan,milano,,italy,http://www.unimi.it,university milan,milan,,italy,unimi,1
1334,18789,29927,university palermo,palermo,,italy,http://www.unipa.it,university palermo,palermo,,italy,unipa,1
1606,20083,40860,university cambridge jesus college,cambridge,,united kingdom,http://www.jesus.cam.ac.uk,university cambridge,cambridge,,united kingdom,gmail,1
1616,20084,42505,university cambridge king s college,cambridge,,united kingdom,http://www.kings.cam.ac.uk,university cambridge,cambridge,,united kingdom,cam,1
1697,20096,17762,university cambridge selwyn college,cambridge,,united kingdom,http://www.sel.cam.ac.uk,university cambridge,cambridge,,united kingdom,cam,1
1814,20232,11411,university london,london,,united kingdom,http://www.lon.ac.uk,university london,egham,surrey,united kingdom,rhul,1
1834,20236,11411,university london heythrop college,london,,united kingdom,http://www.heythrop.ac.uk,university london,egham,surrey,united kingdom,rhul,0
1849,20239,11411,university london queen mary,london,,united kingdom,http://www.qmul.ac.uk,university london,egham,surrey,united kingdom,rhul,0
1971,20396,57124,university oxford queen s college,oxford,,united kingdom,http://www.queens.ox.ac.uk,oxford university,oxford,,united kingdom,ox,1
1975,20399,57124,university oxford st. antony s college,oxford,,united kingdom,http://www.sant.ox.ac.uk,oxford university,oxford,,united kingdom,ox,1
2106,20599,1279,university toronto,toronto, Ontario,canada,http://utoronto.ca,university toronto,toronto,on,canada,gmail,1
2108,20599,444,university toronto,toronto, Ontario,canada,http://utoronto.ca,university toronto,toronto,on,canada,utoronto,1
2194,20869,56442,university toronto victoria university,toronto, Ontario,canada,http://www.vicu.utoronto.ca,university toronto,toronto,on,canada,utoronto,0
2217,21110,55274,wageningen university research centre,wageningen,,netherlands,http://www.wageningenur.nl,wageningen university,wageningen,gelderland,netherlands,wur,1
