_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label
206,1390,2753,baker college owosso,united states,owosso,michigan,http://www.baker.edu,baker college,united states,flint,michigan,baker,0
356,1798,17901,bryant university,united states,smithfield,rhode island,http://www.bryant.edu/,bryant university,united states,smithfield,rhode island,bryant,1
1047,4061,6792,lausanne hotel school,switzerland,lausanne,lausanne 25,http://www.ehl.edu/,university lausanne,switzerland,lausanne,,unil,0
1163,4826,12116,esmt european school management technology berlin,germany,berlin,,http://www.esmt.org,esmt,germany,berlin,,esmt,1
1782,7454,4798,ostwestfalen lippe university applied sciences,germany,lemgo,northrhine-westphalia,http://www.hs-owl.de,carinthia university applied sciences,germany,aichtal neuenhaus,,cti,0
2493,10528,24053,korea national sport university,south korea,seoul,,http://www.knsu.ac.kr/web/kor/home,korea university,south korea,seoul,,korea,0
2934,11634,47366,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu,1
3051,11930,3733,minnesota state university moorhead,united states,moorhead,minnesota,http://www.mnstate.edu,university minnesota,united states,minneapolis,minnesota,umn,0
3197,12497,57483,national pingtung university education,taiwan,pingtung,,http://www.npue.edu.tw,national changhua university education,taiwan,changhua,,ncue,0
3546,12769,43520,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,unc,0
4933,15833,23376,state university new york college old westbury,united states,old westbury,new york,http://www.oldwestbury.edu,university buffalo state university new york,united states,buffalo,new york,buffalo,0
5058,15836,5731,state university new york college plattsburgh,united states,plattsburgh,new york,http://www.plattsburgh.edu,new york university,united states,new york,new york,nyu,0
5087,15837,11278,state university new york college potsdam,united states,potsdam,new york,http://www.potsdam.edu,new york university,united states,new york,new york,nyu,0
5255,15845,13739,state university new york college technology delhi,united states,delhi,new york,http://www.delhi.edu,stony brook university state university new york,united states,stony brook,new york,stonybrook,0
5555,16319,47109,temple university,united states,philadelphia,pennsylvania,http://www.temple.edu,temple university,united states,philadelphia,pennsylvania,temple,1
5556,16319,52084,temple university,united states,philadelphia,pennsylvania,http://www.temple.edu,temple university,united states,philadelphia,pennsylvania,gmail,1
6009,16420,51629,city college new york,united states,new york,new york,http://www.ccny.cuny.edu,baruch college city university new york,united states,new york,new york,cuny,0
6238,16429,2116,city university new york york college,united states,jamaica,new york,http://www.york.cuny.edu,baruch college city university new york,united states,new york,new york,cuny,0
6471,16508,6847,open university hong kong,hong kong,hong kong,,http://www.ouhk.edu.hk,city university hong kong,hong kong,kowloon,hong kong,cityu,0
6490,16508,47453,open university hong kong,hong kong,hong kong,,http://www.ouhk.edu.hk,university hong kong,hong kong,hong kong,,hku,0
6611,16515,44584,pennsylvania state university penn state beaver,united states,monaca,pennsylvania,http://www.beaver.psu.edu/,pennsylvania state university,united states,university park,pennsylvania,psu,1
6741,16519,8905,pennsylvania state university penn state behrend,united states,erie,pennsylvania,http://psbehrend.psu.edu/,university pennsylvania,united states,philadelphia,pennsylvania,upenn,0
6919,16526,25893,pennsylvania state university penn state new kensington,united states,new kensington,pennsylvania,http://www.nk.psu.edu,pennsylvania state university,united states,university park,pennsylvania,psu,1
7257,16576,48712,university hong kong,hong kong,hong kong,,http://www.hku.hk,hong kong polytechnic university,hong kong,kowloon,,polyu,0
7565,18707,44112,methodist university sao paulo,brazil,sao bernardo do campo,sao paulo,http://www.metodista.br,university de sao paulo,brazil,sao paulo,sao paulo,usp,0
7572,18730,53900,regional university northwest state rio grande do sul,brazil,ijui,rio grande do sul,http://www.unijui.tche.br,unigranrio university do grande rio,brazil,niteroi,rio de janeiro,gmail,0
8983,20308,46507,university missouri columbia,united states,columbia,missouri,http://www.missouri.edu,university missouri,united states,columbia,missouri,missouri,1
9406,20422,32158,university pennsylvania,united states,philadelphia,pennsylvania,http://www.upenn.edu,pennsylvania state university,united states,university park,pennsylvania,psu,0
9796,20869,56856,university toronto victoria university,canada,toronto,ontario,http://www.vicu.utoronto.ca,university toronto,canada,toronto,on,utoronto,1
10435,22863,38223,california state university,united states,long beach,california,http://www.calstate.edu,california state university san francisco,united states,san francisco,california,sfsu,0
