_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server,gold_label
37,78,50593,accadis university applied sciences bad homburg,bad homburg,Hesse,germany,http://www.accadis.com,university applied management,erding,,germany,googlemail,0
224,943,17955,amsterdam school arts,amsterdam,,netherlands,http://www.ahk.nl,vu university amsterdam,amsterdam,,netherlands,vu,0
720,1613,43466,berlin technical university arts,berlin,,germany,http://www.btk-fh.de,technical university munich,muenchen,,germany,tum,0
2111,3505,45802,dalhousie university,halifax, Nova Scotia ,canada,http://www.dal.ca,dalhousie university,halifax,ns,canada,dal,1
2340,3853,29732,dongduk women s university,seoul,,south korea,http://www.dongduk.ac.kr,kaist,seoul,,south korea,kaist,0
3020,4038,40062,school advanced studies social sciences ehess paris,paris,,france,http://www.ehess.fr,kedge business school,marseille,,france,euromed-management,0
3430,4110,21924,national art school bourges,bourges,Cedex,france,http://www.ensa-bourges.fr,skema business school,sophia antipolis,,france,skema,0
7777,6978,15266,copenhagen business school,frederiksberg,,denmark,http://www.cbs.dk,copenhagen business school,copenhagen,,denmark,cbs,1
9858,7908,57999,institute political studies paris sciences po,paris,Cedex 07,france,http://www.sciences-po.fr,idsl,paris,,france,id-sl,0
10268,8224,57674,institute mechanical engineering paris,saint ouen,Cedex,france,http://www.supmeca.fr,hec paris,jouy en josas,ile-de-france,france,hec,0
10834,8796,38508,jean piaget school education macedo de cavaleiros,macedo de cavaleiros,,portugal,http://www.ipiaget.org/macedo-cavaleiros/,catolica lisbon school business and economics,lisbon,portugal,portugal,pt,0
11485,10009,58791,justice institute british columbia,new westminster, British Columbia ,canada,http://www.jibc.ca/,qwaiify,kitchener,on,canada,qwalify,0
11590,10178,58056,catholic university leuven,leuven,,belgium,http://www.kuleuven.ac.be,ku leuven,leuven,,belgium,kuleuven,0
11648,10383,56340,king s college london,london,,united kingdom,http://www.kcl.ac.uk,queen s university belfast,belfast,northernireland,united kingdom,qub,0
11680,10383,57162,king s college london,london,,united kingdom,http://www.kcl.ac.uk,university east london,london,london,united kingdom,uel,0
12501,11020,54587,london metropolitan university,london,,united kingdom,http://www.londonmet.ac.uk,kingston university london,kingston upon thames,,united kingdom,kingston,0
13227,12413,58998,national cheng kung university,tainan,,taiwan,http://www.ncku.edu.tw,national changhua university education,changhua,,taiwan,hotmail,0
14139,12495,59504,national penghu university,penghu,,taiwan,http://www.npu.edu.tw,national taiwan normal university,taipei,,taiwan,gmail,0
14439,12511,58998,national taipei university,new taipei city,Taiwan,taiwan,http://english.ntpu.edu.tw/bin/home.php,national changhua university education,changhua,,taiwan,hotmail,0
14639,12518,18284,national taiwan ocean university,keelung,,taiwan,http://www.ntou.edu.tw,national sun yat sen university,kaohsiung,,taiwan,gmail,0
16937,15170,17006,seoul national university science technology,seoul,,south korea,http://www.seoultech.ac.kr/,gntech,jinju,gyeongnam,south korea,gntech,0
18295,16315,33000,institut mines telecom graduate engineering school information communication technologies telecom paris tech,paris,Cedex 13,france,http://www.telecom-paristech.fr,esc rennes school business,rennes,---------------,france,esc-rennes,0
18963,16658,47508,tianjin university finance economics,tianjin,Tianjin Province,china,http://www.tjufe.edu.cn,capital university business and economics,beijing,,china,gmail,0
19468,17759,57368,miguel de cervantes european university,valladolid,,spain,http://www.uemc.es,iese,madrid,,spain,iese,0
20707,19671,57998,university antilles guyana guadeloupe,pointe a pitre,Cedex,france,http://www.univ-ag.fr,idsl,paris,,france,id-sl,0
21832,20152,55953,university electronic science technology china,chengdu,Sichuan Province,china,http://www.uestc.edu.cn,guangdong university technology,guangzhou,china,china,gdut,0
22601,20245,29031,university london courtauld institute art,london,,united kingdom,http://www.courtauld.ac.uk,london school economics,london,na,united kingdom,lse,0
23521,20540,37454,university technology sydney,ultimo,New South Wales,australia,http://www.uts.edu.au,queensland university technology,south brisbane,queensland,australia,qut,0
24652,21837,56981,zhejiang university technology,hangzhou,Zhejiang Province,china,http://www.zjut.edu.cn,huazhong university science and technology,wuhan,hubei,china,hust,0
24789,22099,4616,regent s university london,london,,united kingdom,http://www.regents.ac.uk/,imperial college london,london,,united kingdom,imperial,0
