_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server,gold_label
13,10,22207,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,hanken,1
17,15,58875,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,au,1
41,917,58552,american university beirut,beirut,,lebanon,http://www.aub.edu.lb,american university beirut,beirut,,lebanon,aub,1
96,1997,6611,carleton university,ottawa, Ontario,canada,http://www.carleton.ca/,carleton university,ottawa,on,canada,carleton,1
148,3809,46745,lower silesian university entrepreneurship technology polkowice,polkowice,dolnoslaskie,poland,http://www.dwspit.pl,silesian university technology,zabrze,,poland,pl,0
166,4508,39215,erasmus university rotterdam,rotterdam,,netherlands,http://www.eur.nl,erasmus university rotterdam,rotterdam,,netherlands,rsm,1
200,4849,56644,european distance education university applied sciences hamburg,hamburg,,germany,http://www.euro-fh.com,university hamburg,hamburg,hamburg,germany,uni-hamburg,0
241,6429,58451,friedrich alexander university erlangen nuremberg,erlangen,Bavaria,germany,http://www.fau.de,friedrich alexander university erlangen nuremberg,nuremberg,,germany,web,1
525,10528,59371,korea national sport university,seoul,,south korea,http://www.knsu.ac.kr/web/kor/home,korea university,seoul,,south korea,korea,0
533,10530,24053,korea national university transportation,chungju si,Chungbuk-do,south korea,http://www.ut.ac.kr/,korea university,seoul,,south korea,korea,0
696,12354,34137,nanjing university science technology,nanjing,Jiangsu Province,china,http://www.njust.edu.cn,nanjing university,nanjing,china,china,163,0
780,12759,4668,norwegian school economics,bergen,,norway,http://www.nhh.no,norwegian school economics,bergen,,norway,nhh,1
821,13222,40734,oxford brookes university,oxford,,united kingdom,http://www.brookes.ac.uk,university oxford,oxford,,united kingdom,ox,0
831,13243,59882,school teacher education university applied sciences st. gallen,st. gallen,,switzerland,http://www.phsg.ch,university st. gallen,st. gallen,,switzerland,unisg,0
924,15168,47664,seoul national university,seoul,,south korea,http://www.useoul.edu/,seoul national university,seoul,,south korea,snu,1
1145,16576,12215,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,kowloon,,hong kong,ust,0
1150,16576,30472,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,kowloon,,hong kong,cityu,0
1157,16576,2073,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,kowloon,kowloon,hong kong,cityu,0
1423,19606,5674,university lausanne,lausanne,,switzerland,http://www.unil.ch,hec university lausanne,lausanne,vaud,switzerland,unil,1
1527,20070,27860,university cambridge christ s college,cambridge,,united kingdom,http://www.christs.cam.ac.uk,university cambridge,cambridge,united kingdom,united kingdom,cam,1
1552,20073,52316,university cambridge clare hall,cambridge,,united kingdom,http://www.clarehall.cam.ac.uk,university cambridge,cambridge,cambridgeshire,united kingdom,yahoo,1
1652,20091,45653,university cambridge queens college,cambridge,,united kingdom,http://www.quns.cam.ac.uk,university cambridge,cambridge,,united kingdom,cam,1
1654,20091,41471,university cambridge queens college,cambridge,,united kingdom,http://www.quns.cam.ac.uk,university cambridge,cambridge,,united kingdom,cam,1
1656,20093,45918,university cambridge st. catharine s college,cambridge,,united kingdom,http://www.caths.cam.ac.uk,university cambridge,cambridge,,united kingdom,cam,1
1971,20396,57124,university oxford queen s college,oxford,,united kingdom,http://www.queens.ox.ac.uk,oxford university,oxford,,united kingdom,ox,1
2016,20486,3504,university seoul,seoul,,south korea,http://www.uos.ac.kr,seoul national university,seoul,,south korea,snu,0
2131,20613,28608,university victoria,victoria, British Columbia ,canada,http://www.uvic.ca,university victoria,victoria,bc,canada,gmail,1
2252,21367,56442,university toronto wycliffe college,toronto, Ontario,canada,http://www.wycliffecollege.ca/,university toronto,toronto,on,canada,utoronto,1
2327,21941,58838,kansai university health sciences,osaka,,japan,http://www.kansai.ac.jp/,kansai university,suita city,osaka,japan,hotmail,0
2368,23142,57372,msh medical school hamburg university applied science medical university,hamburg,,germany,http://www.medicalschool-hamburg.de/,university hamburg,hamburg,,germany,uni-hamburg,0
